"emp_no","first_name","last_name","hire_date"
10847,"Theirry","Danley","7/25/1986"
10856,"Sreenivas","Peck","12/31/1986"
10867,"Billur","Gyorkos","10/8/1986"
10874,"Mahmut","Borstler","4/22/1986"
10877,"Subir","Biron","6/6/1986"
10880,"Weiye","Nitsche","4/20/1986"
10895,"Vishwani","Petersohn","4/26/1986"
10897,"Arno","Kumaresan","4/9/1986"
10898,"Munenori","Markovitch","4/10/1986"
10912,"Oscal","Fasbender","4/23/1986"
10921,"Mara","Bahi","7/27/1986"
10925,"Heng","Waterhouse","9/4/1986"
10952,"Inderjeet","Bharadwaj","7/22/1986"
10955,"Urs","Danley","9/27/1986"
10961,"Weiwu","Choobineh","5/14/1986"
10962,"Naraig","Kugler","12/16/1986"
10965,"Eckart","Braunschweig","7/29/1986"
10975,"Peternela","Birnbaum","10/31/1986"
10979,"Elrique","Raney","1/27/1986"
11005,"Byong","Douceur","7/27/1986"
11009,"Alper","Axelband","9/9/1986"
11010,"Jaques","Narwekar","12/18/1986"
11012,"Taegyun","Speckmann","12/28/1986"
11027,"Remzi","Cappello","5/7/1986"
11028,"Miyeon","Krider","6/18/1986"
11050,"Elvis","Katiyar","5/6/1986"
11054,"Utpal","Krohn","7/18/1986"
11059,"Shawna","Jarecki","11/17/1986"
11073,"Yuriy","Clemencon","8/18/1986"
11085,"Hailing","Thummel","11/27/1986"
11090,"Ebbe","Hasenauer","7/25/1986"
11093,"Licheng","Kitai","2/17/1986"
11096,"Shugo","Zallocco","12/12/1986"
11100,"Berna","Cochrane","10/13/1986"
11136,"Gladys","Luiz","2/4/1986"
11137,"Hugh","Luca","7/31/1986"
11138,"Adel","Matteis","10/22/1986"
11159,"Becky","Schlenzig","8/31/1986"
11180,"Mitsuyuki","Bojadziev","6/11/1986"
11197,"Tadahiro","Fordan","4/13/1986"
11210,"Kamakshi","Decaestecker","2/27/1986"
11226,"Margareta","Akiyama","7/13/1986"
11237,"Brendon","Salinas","3/30/1986"
11252,"Rutger","Dulin","1/15/1986"
11255,"Ortrud","Karunanithi","10/8/1986"
11256,"Gudjon","Ratzlaff","9/25/1986"
11257,"Weidon","Pews","12/12/1986"
11259,"Amalendu","Gronowski","12/26/1986"
11264,"Uma","Oehlmann","10/9/1986"
11278,"Sumali","Juneja","4/22/1986"
11303,"Jaewoo","Usery","11/5/1986"
11305,"Augustine","Schwabacher","4/11/1986"
11307,"Mohd","Dratva","3/24/1986"
11308,"Tadahiro","Tibblin","8/7/1986"
11313,"Paraskevi","Kusalik","2/28/1986"
11318,"Gopalakrishnan","Unno","1/25/1986"
11319,"Pranas","Marrakchi","10/3/1986"
11328,"Xiong","Ferriere","8/8/1986"
11334,"Yurij","Vural","10/12/1986"
11347,"Anneli","Jonsson","4/20/1986"
11353,"Utpal","Berztiss","8/25/1986"
11363,"Jenwei","Milicia","3/16/1986"
11376,"Valery","Suomi","3/14/1986"
11378,"Masamitsu","Katiyar","1/3/1986"
11398,"Oscar","Peir","8/23/1986"
11421,"Josyula","Msuda","9/2/1986"
11429,"Nagui","Kaminger","10/16/1986"
11435,"Utpal","Lichtman","10/15/1986"
11449,"Kotesh","Asser","8/27/1986"
11459,"Duke","Suomi","5/3/1986"
11461,"Kish","Cronau","8/19/1986"
11466,"Naftali","Koshino","5/3/1986"
11473,"Jiakeng","Eugenio","11/19/1986"
11481,"Sven","Schrooten","11/3/1986"
11496,"Toshimo","Marakhovsky","4/14/1986"
11506,"Rance","Picel","7/1/1986"
11513,"Otmar","Mahnke","3/27/1986"
11515,"Ulf","Basawa","2/27/1986"
11517,"Hatem","Raczkowsky","10/9/1986"
11537,"DAIDA","Pehl","7/6/1986"
11545,"Bartek","Lieblein","9/19/1986"
11548,"Nahid","Leuchs","5/16/1986"
11555,"Kotesh","Perfilyeva","10/14/1986"
11569,"Kasidit","Geffroy","10/6/1986"
11571,"Jinpo","Takkinen","2/15/1986"
11576,"Lakshmi","Demizu","11/25/1986"
11583,"Margo","Domenig","6/9/1986"
11588,"Kaijung","Panangaden","10/13/1986"
11591,"Kiyomitsu","Lindqvist","1/7/1986"
11611,"Annemarie","Mateescu","12/2/1986"
11613,"Lijia","Marchesini","12/19/1986"
11614,"Moni","Peha","3/8/1986"
11621,"Ottavia","Baaleh","11/17/1986"
11638,"JoAnne","Falco","3/30/1986"
11660,"Gill","Stenning","11/22/1986"
11669,"Leah","Anguita","4/7/1986"
11671,"Pranjal","Babu","12/31/1986"
11675,"Slavian","Pettit","10/7/1986"
11682,"Dante","Zumaque","11/27/1986"
11684,"Oksana","Gide","2/21/1986"
11687,"Owen","Peak","1/13/1986"
11689,"Jixiang","Thisen","12/26/1986"
11710,"Rajmohan","Hatcliff","9/5/1986"
11716,"Anneli","Leijenhorst","4/17/1986"
11738,"Tadahiro","Lichtman","6/19/1986"
11740,"Isaac","Pero","9/3/1986"
11747,"Aksel","Kossowski","2/20/1986"
11776,"Giordano","Zaccaria","11/5/1986"
11788,"Georgy","Gopalakrishnan","10/3/1986"
11799,"Duro","Silva","3/3/1986"
11804,"Bikash","Rusterholz","9/16/1986"
11808,"Morrie","Rosiles","5/17/1986"
11815,"Akemi","Sommen","4/12/1986"
11817,"Niranjan","Markovitch","4/12/1986"
11830,"Maya","Snedden","7/15/1986"
11832,"Arto","Zlotek","10/16/1986"
11840,"Jayson","Hofman","12/21/1986"
11857,"Divier","Farrag","8/27/1986"
11921,"Yaghout","Benner","3/4/1986"
11927,"Mana","Aingworth","4/26/1986"
11941,"Gaurav","Cyre","1/31/1986"
11976,"Jacqueline","Barvinok","10/8/1986"
11983,"Jaana","Hedayat","10/11/1986"
11993,"Marit","Dalphin","6/25/1986"
11995,"Lenore","Comyn","7/26/1986"
11999,"Apostol","Rabehasaina","1/16/1986"
12004,"Lucien","Schlenzig","10/13/1986"
12019,"Mads","Ossenbruggen","2/17/1986"
12029,"Jaana","Nourani","7/10/1986"
12032,"Oguz","Etalle","1/21/1986"
12036,"Mads","Ratzlaff","9/5/1986"
12037,"Arunas","Katzenelson","10/1/1986"
12049,"Guadalupe","Covnot","12/7/1986"
12052,"Masako","Khasidashvili","4/7/1986"
12056,"Nirmal","Genther","7/31/1986"
12057,"Vishv","Speckmann","10/12/1986"
12064,"Heping","Silva","3/14/1986"
12067,"Doowon","Kalsbeek","6/24/1986"
12082,"Xinan","Yamaashi","1/29/1986"
12085,"Hugh","Rouquie","7/3/1986"
12087,"Weijing","Jumpertz","8/16/1986"
12089,"Bilhanan","Socorro","10/22/1986"
12100,"Nevio","Beznosov","11/24/1986"
12112,"Satyanarayana","Avouris","5/24/1986"
12113,"Larisa","DeMori","7/29/1986"
12120,"Eckart","Schrift","6/20/1986"
12121,"Gadiel","Vendrig","3/2/1986"
12124,"Jingling","Schaaf","6/29/1986"
12128,"Yannik","Barreiro","1/29/1986"
12131,"Gregory","Fandrianto","10/11/1986"
12145,"Xiong","Peir","7/14/1986"
12154,"Aksel","Snedden","5/24/1986"
12173,"Adel","Nanard","6/24/1986"
12198,"Shai","Huxford","5/4/1986"
12204,"Menkae","Mattern","1/5/1986"
12205,"Sushant","Rossi","4/14/1986"
12207,"Radoslaw","Menyhert","6/8/1986"
12211,"Macha","Lores","12/26/1986"
12212,"Atilio","Radhakrishnan","8/24/1986"
12222,"Abdelwaheb","Holburn","9/1/1986"
12223,"Niteen","Koyama","8/13/1986"
12225,"Yongqiao","Narahara","6/15/1986"
12255,"Pasqua","Hoogerwoord","12/8/1986"
12268,"Nidapan","Kragelund","11/28/1986"
12271,"Sugwoo","Krychniak","8/15/1986"
12276,"Yongmin","Lenart","8/12/1986"
12288,"Paddy","Bodoff","4/25/1986"
12301,"Oksana","Akazan","12/5/1986"
12306,"Suvo","Menyhert","5/18/1986"
12313,"Tsutomu","Narahari","10/21/1986"
12315,"Haldun","Binding","12/26/1986"
12327,"DAIDA","Bruckman","10/16/1986"
12347,"Remko","Ranze","3/23/1986"
12359,"Tokuyasu","Yetto","4/1/1986"
12374,"Ult","Berstel","7/1/1986"
12376,"Kwangsub","Matzen","11/11/1986"
12393,"Soenke","Uhrig","7/7/1986"
12411,"Shao","Ibel","8/17/1986"
12415,"Uri","Sluis","10/25/1986"
12420,"Douadi","Rande","11/12/1986"
12444,"Monique","Reinhard","12/10/1986"
12445,"Luisa","Mahmud","2/1/1986"
12451,"Pramod","Marzano","11/26/1986"
12454,"Kerryn","Farris","9/10/1986"
12461,"Tesuro","Silva","7/4/1986"
12462,"Zhenhua","Schmittgen","12/31/1986"
12464,"Shai","Milicic","8/18/1986"
12489,"Arnould","Munck","4/11/1986"
12501,"Morrie","Matheson","6/5/1986"
12512,"Zissis","Remmele","7/25/1986"
12535,"Kazuhiko","Bergere","3/16/1986"
12544,"Kankanahalli","Hartvigsen","11/23/1986"
12560,"Leszek","Makinen","5/19/1986"
12572,"Sungwon","McConalogue","7/20/1986"
12578,"Tamiya","Perin","7/28/1986"
12580,"Pramod","Journel","12/29/1986"
12596,"Breannda","Roisin","4/25/1986"
12600,"Lucian","Garrabrants","9/23/1986"
12624,"Zhongwei","Zykh","1/25/1986"
12638,"Yuqun","Seiwald","7/1/1986"
12650,"Odoardo","Demke","5/22/1986"
12653,"Hitomi","Kaelbling","10/7/1986"
12654,"Zhaofang","Tagansky","7/24/1986"
12661,"Berry","Lung","7/27/1986"
12663,"Nobuyoshi","Stellhorn","9/29/1986"
12690,"Valter","Mitchem","9/13/1986"
12693,"Patricia","Demke","3/3/1986"
12695,"Lubomir","Crelier","7/23/1986"
12697,"Uri","Brizzi","7/11/1986"
12705,"Dung","Driscoll","8/7/1986"
12711,"Yechiam","Jiafu","11/21/1986"
12713,"Byong","Demir","4/3/1986"
12718,"Susanne","Kamber","8/23/1986"
12723,"Arvin","Baez","6/14/1986"
12734,"Gil","Frijda","3/3/1986"
12736,"Prasadram","Tempesti","11/9/1986"
12760,"Sergi","Tomescu","10/19/1986"
12775,"Mariangiola","Berendt","2/6/1986"
12779,"Miomir","Birrer","1/5/1986"
12782,"Weidon","Pietracaprina","8/23/1986"
12787,"Bezalel","Shanbhogue","12/16/1986"
12790,"Gunilla","Perl","4/22/1986"
12795,"Masoud","Fordan","10/11/1986"
12809,"Huei","Gargeya","1/15/1986"
12819,"Mountaz","Gubsky","11/30/1986"
12838,"Danel","Avouris","9/24/1986"
12852,"Karlis","Baranowski","3/16/1986"
12866,"Jaroslava","Argence","10/4/1986"
12872,"Marl","Schmittgen","9/9/1986"
12879,"Baruch","Eugenio","5/14/1986"
12888,"Martien","Erni","5/7/1986"
12891,"Ibibia","Ozeki","11/9/1986"
12896,"Mircea","Delgrande","10/29/1986"
12916,"Lijie","Gihr","4/4/1986"
12933,"Youjian","Kranzdorf","5/19/1986"
12935,"Shuzo","Sudkamp","3/24/1986"
12937,"Arup","Cincotta","1/26/1986"
12941,"Tommaso","Perelgut","11/6/1986"
12954,"Dinkar","Walston","5/8/1986"
12961,"Guther","Rosch","8/11/1986"
12970,"Sadun","Bellmore","8/6/1986"
12971,"Tetsurou","Gladwell","6/21/1986"
12974,"Gift","Frolund","10/24/1986"
12993,"Subhash","Sessa","8/25/1986"
13005,"Gilbert","Kobara","12/8/1986"
13006,"Jolita","Spelt","11/7/1986"
13014,"Gianluca","Budinsky","1/21/1986"
13016,"Fuqing","Figueira","6/2/1986"
13037,"Alagu","Schaad","9/2/1986"
13040,"Danny","Berendt","7/7/1986"
13041,"Kazuhide","Zucker","5/21/1986"
13053,"Randy","Carrera","12/23/1986"
13062,"Xinglin","Baak","11/25/1986"
13068,"Aksel","Magalhaes","7/18/1986"
13075,"Rosella","Morrin","8/17/1986"
13094,"Sanjay","Servieres","1/1/1986"
13098,"Lijie","Fiutem","2/26/1986"
13105,"Zito","Carrere","1/19/1986"
13106,"Soenke","Dahlbom","12/6/1986"
13123,"Hatem","Miake","10/10/1986"
13156,"Akeel","Millington","12/29/1986"
13162,"Shaw","Goodrum","12/18/1986"
13170,"Cheong","Bernardeschi","5/7/1986"
13178,"Kankanahalli","Itschner","1/10/1986"
13186,"Kyoichi","Barbanera","4/29/1986"
13193,"Shimshon","Miyakawa","9/5/1986"
13194,"Aleksandar","Oberman","8/9/1986"
13195,"Toshiki","Baak","3/2/1986"
13198,"Nevin","McAlpine","12/21/1986"
13199,"Gunilla","Bergere","4/17/1986"
13202,"Aram","Scharstein","3/29/1986"
13210,"Jianhua","Klassen","9/19/1986"
13219,"Wojceich","Constantine","8/12/1986"
13232,"Mitchel","Fujisaki","6/2/1986"
13243,"Fay","Huxford","12/17/1986"
13257,"Francoise","Poehlman","7/12/1986"
13264,"Oguz","Hofting","8/23/1986"
13274,"Valery","Anguita","10/1/1986"
13276,"Yechiam","Seuren","3/9/1986"
13278,"Chenxi","Denos","6/11/1986"
13281,"Luerbio","Wursthorn","10/7/1986"
13283,"Unal","Liedekerke","10/19/1986"
13286,"Basem","Smailagic","11/9/1986"
13291,"Georg","Stamatiou","10/30/1986"
13298,"Sasan","Shokrollahi","11/6/1986"
13299,"Guiseppe","Butner","7/17/1986"
13300,"Mountaz","Denis","8/28/1986"
13323,"Baruch","Danecki","12/30/1986"
13334,"Kwangsub","Wroclawski","4/10/1986"
13341,"Bodh","Doering","3/11/1986"
13363,"Temple","Straney","2/19/1986"
13371,"Nakhoon","Riexinger","7/29/1986"
13385,"Claudi","Buchter","6/10/1986"
13386,"Khosrow","Sgarro","2/23/1986"
13398,"Fuqing","Valette","3/10/1986"
13405,"Randy","Baba","9/18/1986"
13408,"Sreekrishna","Lagarias","4/26/1986"
13415,"Nathalie","Speer","1/1/1986"
13430,"Irene","Jakobus","2/5/1986"
13431,"Danco","Sidje","10/27/1986"
13432,"Masadi","Armand","9/14/1986"
13445,"Renee","Dehkordi","4/14/1986"
13450,"Nectarios","Hennebert","3/15/1986"
13451,"Gretta","Weiland","8/23/1986"
13457,"Shooichi","Parfitt","1/18/1986"
13464,"Chanjung","Jeansoulin","8/7/1986"
13473,"Mooi","Bruckman","12/16/1986"
13477,"Reuven","Karlin","1/14/1986"
13483,"Arco","Ananiadou","2/16/1986"
13484,"Kristina","Setlzner","11/10/1986"
13485,"Isamu","Perly","8/22/1986"
13488,"Zhiwei","Krohm","2/9/1986"
13490,"Sadegh","Theuretzbacher","4/27/1986"
13501,"Caolyn","Peek","7/26/1986"
13504,"Parto","Mandell","12/21/1986"
13508,"Kazuyasu","Shackell","5/9/1986"
13511,"Qiwen","Pocchiola","8/12/1986"
13529,"Toshimori","Matzen","7/6/1986"
13531,"Shuichi","Sluis","1/4/1986"
13535,"Arunas","Schlenzig","5/19/1986"
13543,"Tua","Garigliano","7/28/1986"
13560,"Sibyl","Jeong","7/28/1986"
13562,"Mary","Cooley","2/24/1986"
13570,"Kiyomitsu","Perez","3/15/1986"
13572,"Honglan","Beutelspacher","9/15/1986"
13576,"Jungsoon","Engberts","8/22/1986"
13590,"Sashi","Showalter","3/14/1986"
13601,"Lillian","Feldhoffer","7/15/1986"
13604,"Tzu","Stille","3/3/1986"
13615,"Sugwoo","Marrevee","7/14/1986"
13621,"Fei","Haddadi","8/24/1986"
13639,"Marie","Zeilberger","10/20/1986"
13641,"Chandrasekaran","Georgatos","12/16/1986"
13652,"Eldridge","Ramsak","1/30/1986"
13656,"Oldrich","Ferretti","4/9/1986"
13669,"Hidde","Peng","1/24/1986"
13677,"Masasuke","Hiyoshi","3/21/1986"
13704,"Vishu","Kumaresan","5/3/1986"
13714,"Kirk","Lalonde","5/26/1986"
13715,"Licheng","Range","11/3/1986"
13718,"Lein","Gronowski","11/22/1986"
13728,"Insup","Swab","1/3/1986"
13732,"Danae","Hutter","2/12/1986"
13757,"Soenke","Demir","2/22/1986"
13766,"Tremaine","Heemskerk","8/18/1986"
13768,"Sedat","Lovengreen","11/19/1986"
13769,"Yakichi","Trogemann","10/24/1986"
13789,"Ramalingam","Ranst","3/4/1986"
13795,"Mayuri","Gewali","8/4/1986"
13801,"Shih","Mayerwieser","3/8/1986"
13808,"Becky","Stentiford","3/8/1986"
13809,"Kiyotoshi","Basagni","1/12/1986"
13825,"Arlette","Pell","8/2/1986"
13833,"Sumali","Grospietsch","9/23/1986"
13841,"Christophe","Spinelli","1/9/1986"
13850,"Hyuckchul","Kroft","2/27/1986"
13853,"Mingsen","Roohalamini","6/2/1986"
13855,"Zhensheng","Argence","9/5/1986"
13864,"Gladys","Attimonelli","1/31/1986"
13868,"Lidong","Rosin","7/4/1986"
13871,"Anoosh","Plavsic","3/25/1986"
13906,"Serif","Dalton","8/10/1986"
13916,"Vidya","Wynblatt","6/6/1986"
13938,"Rosella","Lueh","4/15/1986"
13947,"Gal","Nishimukai","6/18/1986"
13957,"Angus","Chelton","4/18/1986"
13960,"Nechama","Hettesheimer","1/22/1986"
13970,"Howell","Passafiume","4/21/1986"
13979,"Turgut","Highland","6/8/1986"
13982,"Marsja","Vieri","5/31/1986"
14010,"Sushant","Preusig","5/21/1986"
14016,"Shimshon","Alencar","6/23/1986"
14081,"Alain","Fontet","1/13/1986"
14083,"Sashi","Figueira","4/13/1986"
14094,"Masaru","Gajiwala","11/8/1986"
14104,"Sudhanshu","Demian","1/2/1986"
14107,"Xiahua","Rindone","9/4/1986"
14116,"Yuguang","Wilfing","7/10/1986"
14124,"Mohammad","Bennis","7/7/1986"
14133,"Gou","Demri","8/24/1986"
14134,"Leen","Peek","11/1/1986"
14136,"Vasilii","Chappelet","5/6/1986"
14151,"Mariangiola","Esposito","11/30/1986"
14171,"Gift","Garnham","1/10/1986"
14184,"Nalini","Barvinok","8/24/1986"
14192,"Ayakannu","Kroha","8/15/1986"
14202,"Shooichi","Marciano","12/5/1986"
14224,"Guther","Conta","1/30/1986"
14237,"Abdulla","Gerlach","6/13/1986"
14258,"Haldun","Rothenberg","2/4/1986"
14260,"Arlette","Aloia","11/26/1986"
14265,"Jaber","Roison","1/6/1986"
14271,"Rosita","Bernatsky","4/7/1986"
14298,"Chriss","Granlund","12/15/1986"
14299,"Manu","Kitsuregawa","8/5/1986"
14309,"Aron","Speek","10/21/1986"
14313,"Armond","Muntz","6/1/1986"
14314,"Baziley","Fujisaki","7/24/1986"
14320,"Sreenivas","Schaar","6/30/1986"
14322,"Shem","Kakkad","10/23/1986"
14333,"Alois","Pettey","1/15/1986"
14362,"Michaela","Kleiser","9/30/1986"
14374,"Berthier","Tomescu","3/20/1986"
14417,"Shrikanth","Aloisi","5/14/1986"
14427,"Duangkaew","Percebois","8/23/1986"
14439,"Raimond","Woycyznski","11/1/1986"
14447,"Prodip","Denos","10/22/1986"
14449,"Isaac","Muntz","11/8/1986"
14459,"Aruna","Boreale","12/6/1986"
14461,"Weicheng","Hitomi","4/20/1986"
14466,"Fumiko","Rande","11/25/1986"
14474,"Taiji","Ferretti","8/25/1986"
14479,"Thodoros","Suessmith","6/14/1986"
14483,"Supot","Marrevee","1/30/1986"
14486,"Indrajit","Birdsall","7/13/1986"
14493,"Shuichi","Nannarelli","4/4/1986"
14512,"Oldrich","Lupu","5/23/1986"
14516,"Kristian","Underwood","11/26/1986"
14518,"Patricia","Peir","7/6/1986"
14537,"Babette","Engelmann","6/2/1986"
14540,"Khosrow","Hebden","11/7/1986"
14551,"Richard","Sinitsyn","1/5/1986"
14552,"Ibibia","Snyers","9/12/1986"
14587,"Guangming","Vural","11/29/1986"
14603,"Lech","Marquardt","1/19/1986"
14609,"Bartek","Picel","8/29/1986"
14621,"Souichi","Wixon","4/15/1986"
14648,"IEEE","Lorys","11/16/1986"
14649,"Nigel","Parfitt","6/12/1986"
14650,"Yuqun","Georg","10/4/1986"
14652,"Dannz","Jayawardene","3/31/1986"
14666,"Rosalie","Strooper","10/28/1986"
14671,"Elliott","Perri","11/28/1986"
14683,"Alois","Basart","12/2/1986"
14690,"Yechezkel","Bellone","2/25/1986"
14691,"Ulf","Bolsens","4/7/1986"
14693,"Brewster","Stranks","5/5/1986"
14695,"Udo","Cromarty","1/4/1986"
14701,"Kwee","Nittel","8/12/1986"
14706,"Hatem","Guting","6/7/1986"
14712,"Atreyi","Bauknecht","8/31/1986"
14724,"Aron","Lemarechal","9/10/1986"
14728,"Serap","Cichocki","7/9/1986"
14734,"Uri","Danner","9/10/1986"
14747,"Toong","Leppanen","2/1/1986"
14762,"Kayoko","Bolotov","8/15/1986"
14780,"Marlo","Bruckman","9/19/1986"
14781,"Huican","Rissland","7/13/1986"
14788,"Eishiro","Vigier","11/27/1986"
14795,"Dung","Merkl","7/4/1986"
14799,"Mrinalini","Ponthieu","6/7/1986"
14824,"Jeane","Luby","4/7/1986"
14829,"Bojan","Wilharm","8/1/1986"
14836,"Chiradeep","Paludetto","7/3/1986"
14839,"Changho","Cronin","11/13/1986"
14843,"Yaghout","Swick","6/23/1986"
14844,"Mats","Rabejac","10/22/1986"
14845,"Theron","Homond","1/1/1986"
14849,"Aluzio","Ashish","4/16/1986"
14856,"Bluma","Bernardinello","11/26/1986"
14865,"Ute","Serra","7/13/1986"
14888,"Temple","Barriga","12/9/1986"
14898,"Gurbir","Jakobus","6/16/1986"
14907,"Nakhoon","Luga","12/18/1986"
14913,"Karlis","Fujisaki","1/15/1986"
14918,"Kellie","Kaiserswerth","11/18/1986"
14938,"King","Mitina","4/30/1986"
14949,"Insup","Reinhart","2/1/1986"
14953,"Chinya","Wallrath","8/25/1986"
14965,"Gila","Swiler","1/11/1986"
14966,"Zhanqiu","Underwood","8/27/1986"
14969,"Hongzue","Himler","1/3/1986"
14984,"Sangeeta","Parhami","5/4/1986"
14989,"Shalesh","Marzano","3/18/1986"
14994,"Mostafa","Middleton","10/15/1986"
15005,"Kiam","Sadowsky","5/23/1986"
15006,"Miquel","Cools","1/8/1986"
15009,"Huican","Figueira","8/3/1986"
15017,"Xiaobin","Thorelli","6/12/1986"
15028,"Toney","Mandell","4/22/1986"
15034,"Pranas","Hoogerwoord","1/8/1986"
15038,"Weidon","Dalphin","1/3/1986"
15045,"Marco","Luby","5/14/1986"
15057,"Toshiko","Azulay","10/18/1986"
15058,"Bouchung","Bugrara","5/31/1986"
15068,"Sven","Selvestrel","10/9/1986"
15073,"Make","Murthy","4/30/1986"
15075,"Radoslaw","Rijsenbrij","4/24/1986"
15077,"Toshiki","Taubenfeld","7/19/1986"
15082,"Guadalupe","Zirintsis","4/1/1986"
15090,"Collette","Copas","5/18/1986"
15104,"Badri","Rodite","6/13/1986"
15105,"Sudhanshu","Itzigehl","6/9/1986"
15107,"Morris","Heijenga","4/1/1986"
15114,"Pantung","Honglei","12/21/1986"
15122,"Make","Chorvat","3/28/1986"
15130,"Mohua","Puppo","6/24/1986"
15134,"Arun","Luiz","8/16/1986"
15141,"Takahito","Restivo","6/30/1986"
15157,"Eckart","Ramras","3/5/1986"
15167,"Mani","Beznosov","5/21/1986"
15170,"Mana","Bale","9/18/1986"
15172,"Rafols","Pagter","6/20/1986"
15186,"Kenroku","Birdsall","12/19/1986"
15196,"Souichi","Duclos","7/31/1986"
15199,"Heeju","Bernardinello","10/6/1986"
15202,"Pranay","Irland","7/19/1986"
15213,"Arie","Molenkamp","4/25/1986"
15225,"Susanna","Manderick","5/25/1986"
15229,"Xiahua","Acton","7/7/1986"
15230,"Keiichiro","Suessmith","12/10/1986"
15232,"Jordanka","Scharstein","7/1/1986"
15238,"Arunas","Vandervoorde","6/12/1986"
15248,"Edwin","Baar","2/4/1986"
15249,"Guiseppe","Pargaonkar","1/23/1986"
15250,"Abdelghani","Fraisse","5/27/1986"
15259,"Kauko","Schaft","8/20/1986"
